motif_id,title,description
a29,The Sun and a demon compete for the hero,"Two persons one of which is connected with the upper and another with the lower or middle world, both are eager to possess another person and pull him or her to his or her side. One or both rivals are female. Person connected with the upper world and/or the object of the competition are luminaries – the Sun, the Moon, or Venus"
a29a,Torn in half by two wives,The sky wife and the wife from the earth each pull the man to her side tearing him in half
a29b,The Moon torn in half,"Person, connected with the upper world and another person connected with the lower world or the earth both are eager to possess a hero or heroin who is associated with the Moon"
a2a,Several suns burn the earth,"The world was or will be (almost) burned when several suns had (will) appear(ed) simultaneously. (Texts with ""Moon was equal to Sun"" without ""the burned earth"" motif not mentioned)"
a2b,Extra suns and moons annihilated,Other suns or moons besides present ones had been in the sky and were later annihilated
a2b1,The last sun,"Two or more suns shine in the sky. When the extra suns had been annihilated, there was a risk of the last one being destroyed too"
a2c,Extra suns are children of the present one,Extra suns who almost burned or could burn the world are children of the present one
a2d,Suns of the other worlds,Different suns illuminate different worlds or will appear successively in the future
a3,Male sun and female moon,"The Moon is female or bisexual, the Sun is male"
a30,The Moon eats the dead,"Moon descends to earth to eat children, corpses or bones of the dead"
a31,The incestuous Moon,"As a result of some intimate contacts and/or love affair, the Moon acquires its present appearance (often, the stains on his face) and/or ascends to the sky"
a31a,The cut off breast,"When a woman gets know that her husband or lover did something against accepted rules of behavior, she cuts off her breast and shows it to him"
a32,Figure on lunar disc,A figure or an imprint of some being or object are seen in the Moon. (For statistical analysis motifs A32A – A32J are also included into A32)
a32a,The Moon rabbit,Rabbit or hare are seen in the moon
a32b,The Moon toad,Frog or toad are seen in the moon or the Moon is associated with them
a32c,A man and a dog in the Moon,A human being and a dog together are seen in the moon
a32c1,Predator animal in the Moon,"A predator animal (fox, wolf, dog, coyote, jaguar, lion) or its imprint is seen in the Moon"
a32d,Man in the Moon,Human being or imprint of human being is seen in the moon
a32d1,Cain and Abel in the Moon,"Cain and Abel are related to the Moon, usually are seen (borth or Cain only) in the shadows of the lunar disc"
a32dd,Firewood-carrier in the moon,Person who carries a bundle of brushwood or firewood is seen in the moon.
a32e,Person with an object in hands,Person who holds some object in his or her hands is seen in the moon
a32f,Water-carrier in the Moon,Person who went to fetch water and/or holds in hands a container for liquid is seen in the moon
a32g,Holding a bush,Person who had been carried up to the moon took hold of a bush or a small tree and is seen now on the lunar disc together with this bush
a32h,The Moon plant,A tree or bush is seen in the moon
a32i,A shepherd in the moon,"A shepherd or herdsman (alone or with a girl, with his herd, dogs) is seen in the moon"
a32j,A shaman in the moon,"A shaman with his drum ascends to the moon and remains there, his figure is seen in the moon"
a32k,"First to the Sun, then to the Moob",Person seen in the Moon initially had to get to the Sun or the Sun and the Moon argue who of them should get the person
a33,The sun ram,"The Sun has appearance of a big terrestrial mammal (bull, ram, antilope, pig, rhinocero, etc.) or rides such an animal"
a34,The fox and the Moon,"Jackal, coyote, or fox are connected with the Moon (usually with the origin of spots on the lunar disc)"
a35,Spots on the lunar disc,"Dark spots on the lunar disc are dirt, blood, paint, traces of beating, burning, scratching, etc. on the Moon person's body or face (Kiliwa: spots on the Sun) and do not form any particular figure"
a35a,Dirty face of the Moon,Spots on the lunar disc are dirt thrown into the Moon's face by his/her sister/brother or mother
a35b,To smear the Moon with pitch,"To make the Moon less bright, some person tried to smear it with pitch"
a35c,Scars and wounds on the Moon’s face,Dark spots on the Moon are scars and wounds on her face
a36,The immortal Moon,"Moon, unlike people, revives or rejuvenates every month; or those who live in the Moon are immortal; or the Moon makes decision if people should die forever or regularly revive"
a37,The Sun is attacked,Person attacks the Sun (or several suns if they were many) with weapon
a37a,Shooter hides underground,"Small animal (marmot, rabbit, mole, toad, frog) or person who turns into this animal tried to hit the Sun with arrows and since then has been hiding from the Sun in underground holes or in the water"
a37b,Shooter’s thumb cut off,"A small animal (marmot, rabbit, mole, toad, frog) or person who turns into this animal tried to hit with his arrow an aim in the sky (the Sun or a bird) but remains without thumb as a result"
a38,The Sun caught in snare,"Person prepares a snare, loop, noose, etc. to catch the Sun and/or the Sun is caught in a snare, tied by a rope, etc."
a38a,Snare of pubic hair,The Sun is caught into snare made of the pubic hair of hero's female relative
a38b,Mouse gnaws snare open,"After the Sun is caught into snare only mouse, shrew or other small animal is able to cut it open"
a38c,The Sun’s cloak,A boy or a girl has a cloak. The Sun spoils it or gives instead a better one
a38d,The Sun ruins cloak,"Because the Sun does damage to a person or animal (spoils, burns his cloak, skin, etc.), the person or animal kills him or catches him in a snare"
a39,The new sun every day,Suns are born and die every day
a4,Female sun,"The Sun is female, the Moon is male or (much more rare) also female"
a40,The Sun or Moon marry toad,Frog or Toad is a wife of the Sun or Moon
a41,The Sun swallows her children,"Two persons have children (younger siblings, mothers). One of them proposes to another that they should kill (eat, bake, etc.) their children (mothers, etc.) but hides his or her own. The opponent actually kills his or her own kin. One of the persons or/and the only survived child is the Sun"
a42,Phaethon: false Sun fails to fulfill his duty,"Person comes to the sun, attempts to fulfill the sun's duty but intentionally or because of a lack of skill does it wrong and the earth suffers from heat etc."
a43,The Moon in one moccasin,"The Moon-person runs out of the lodge and flies up. He forgets to put his footwear on one foot, or somebody attempts to seize him grasping his foot or cuts the foot off. Now the Moon-person lacks one foot or footwear on one of his (or her) feet"
a43a,Person with a shoe on one foot,"While being transformed into a bird or ascending to the sky a person was in a hurry and put a footwear only on one foot, or somebody attempted to seize him grasping his foot. Now the corresponding bird or a sky-person is believed to have different feet"
a44,Moon the protector,A person pursued by an enemy or tyrannized by others asks the Moon to take her or him to the sky. The request is granted and the person is now seen in the Moon
a45,The insulted Moon,Person who teases or insults the Moon is punished
a46,The Sun and Moon from eyes of a being,The Sun and Moon (Rig-Veda: the Sun only) appear from eyes of a person or creature
a47,"Three horseman (the Sun, the Moon and the night)","On her way to a demonic person, a woman meets horsemen who represent different luminaries or different periods of the day cycle"
a4a,The Sun dazzles eyes,"Modest Sun-woman dazzles (usually pricks with needles, i.e. the sun rays) eyes of those who look at her"
a4b,The Sun is afraid of the night,"Being afraid of the night, the Sun decided to travel across the sky only at the day time"
a5,The sun and the moon are males,"The Moon is male, the Sun is also male or (much more rare) asexual"
a5a,The Sun created from the Moon’s swaddling clothes,The younger brother (usually the Sun) is created from urine and swaddling clothes of the elder brother (usually the Moon).
a6,The Sun and the Moon are females,Both the Sun and the Moon are considered to be females (incl. cases when the gender is not directly specified but both emerge from parts of the body of a female person)
a7,The sun pursues the moon,The Sun and the Moon are persons of different sex. The man pursues the woman or vice versa. Details of pursuit usually explain why the luminaries are not equally bright and/or why there are stains on the lunar disc
a7a,Torches in hands of celestial bodies,"Light of the Sun (Moon, Venus) is a torch in hands of the celestial body"
a8,"The Sun, the Moon and the Star are three siblings","The Sun, the Moon and the star (stars) are three sisters or three brothers"
a8a,"The Sun, the Moon and the star: released by the hero","The sun, moon and star (stars) appear as three consecutive and comparable objects/characters in the stories about the abduction and subsequent release of heavenly bodies."
a9,The moon defends people,Female moon does not permit her husband or son to destroy people
b1,Two male creators,In the beginning of times two companions or brothers compete in producing things. Usually one of them is or becomes master of the underworld
b10,Drunk out water,"Person drinks a lake or all the water in the world or all the water is originally inside person's belly. When a hole is made in it, the water pours out"
b100,Getting a sleep,Formerly or in a particular country the sleep was not known; particular person possesses sleep or is the incarnation of the sleep; the sleep is a particular substance
b101,Slashes on birch bark,"Angry against the birch, person beats or cuts it, whence scratches and slashes on its bark"
b102,Clouds from smoke,Clouds are formed from smoke that ascends from the earth
b103,Cornel-tree fruits,"Person (a devil or a bear) thinks that because the Cornus mas tree (European cornel, male cornel) blossoms before all other fruit trees do, it also brings its fruits early. The cornel fruits become ripe very late, so the person is disappointed and gets no fruits"
b104,Chicken turns into tortoise,"When a guest comes, a host hides from him a cooked chicken. When the host is going to eat it himself, he finds the chicken transformed into the tortoise (origin of tortoises) or a toad"
b104a,Meat springs as toad on the face of an ungrateful son,"A couple (son) intends to eat a roasted chicken (meat). When the man’s old father passes by unexpectedly, they hide the chicken in order not to share it with him. When the old man continues on his way and they replace the chicken on the table, it has turned into a toad (snake) and humps onto the son’s face where it stays until his death"
b105,She daughter-in-law is transformed,"Father- or mother-in-law gets to see his or her daughter-in-law in an improper situation (combing her hair, taking a bath, etc.). She is ashamed in turns into a bird (usually a hoopoe) or a turtle"
b106,The sky cock,"When the sky cock cries, all the cocks on earth cry after him, not before"
b107,The black oyster,"During a (world) fire oyster was burned, nor now oyster shells are black"
b108,Person turns into snow,Anthropomorphic person broken into small particles turns into the snow that shines under the sun
b109,Person turns into bear,Person turns into a bear (origin of bears)
b109a,Bear from the sky,Initially the bear(-person) lived in the sky and then descended to the earth (and turned into the bear)
b110,"If by back, the ravines, if by head the red flowers","Person dragged on the ground disintegrates or touches the ground with different parts of her or his body producing particular features of landscape, different plants, etc."
b110a,Falling person turns into snow and wind,"Being dragged on the ground or falling from the sky, peprson turns into atmospheric phenomena"
b111,Bees emerge from the bull,"Bees fly out of the corpse of a big animal (lion, bull) (origines of bees)"
b112,Bird helps to return property and is decorated,"Person suggests to do some work (usually to ferry people's property across river) but carries away the property that he was entrusted to control, A woodpecker or tit helps to return the property. The owner decorates the bird, thence the color of its plumage"
b113,Bottoms of women and knees of men,"Because of certain events of the time of creation, the women’s bottom and the men’s knees (or vice versa) are cold"
b114,Old person turns into anteater,Old man or old woman turns into anteater (origin of anteaters)
b115,Evergreen trees,Coniferous or some other trees or shrubs (subshrubs) became evergree when the life elixir was spilled on them by chance
b115a,Knots put in wood,"Person (St. Peter), angry at carpents, wants another (Christ) to make wood (trees) with iron knots (branches, nails) but the latter makes the branches only of hard wood"
b116,The first book eaten up,"An animal or a person eats up the first book (writing, important document). (In some of European traditions the eating up of the book is not directly described but follows from the context)"
b116a,Knowledge preserved in the stomach,"Person or animal swallows sacred book or its remains. During rituals this knowledge is actualized in the oral text, in sounds of musical instruments made of the animal body parts or in animal body parts used for divination"
b116b,Sacred book gets wet,"Becasue sacred book gets wet or sinks when people were crossing a river, it is lost or the text becomes unreadable. Or it is destroyed when people try to dry it or when they go to bath and let it lie on a shore"
b117,The dogs' certificate,"The animals (usually dogs) got a certificate which was lost because of the cat (is swallowed by the cat, burned, eaten by mice). Since them dogs and cats are enemies, usually also cats and mice"
b118,One who remained on earth turns into owl,Person who was unable to ascend to the sky or had returned from the sky to the earth turned into the owl
b11a,Mammoth creates the landscape,Mammoth described as an underground fish-related creature moves across the earth while it is still wet creating the present landscape
b13a,Stream follows person,A stream of water (with a monster in it) pursues person who tries to escape from it
b14,The river rapids,Person creates river rapids
b15,River from woman’s body,A river flows from the body of a female person
b16a,Sea from the urine,The sea is produced from urine or blood
b16b,Wolverine makes the sea salty,The sea is alty because the wolverine or the fox bathed in it or urinated into it
b16c,Salt-grinding mill,Magic mill is ordered to grind salt but not ordered to stop. It sinks into ocean and continues to work making the water salty
b17,Night in container,Darkness is a particular object that can be carried (usually brought from its original owner in a container)
b18,Day in container,"Day light (also warmth, the sun, the moon) is kept as a particular object in a container, under a cover, etc."
b19,The night and the married life,People had trouble making love before night came into being
b1a,Three worlds: the universe divided between gods,"Anthropomorphic persons agree to divide between them levels of universe (upper world, earth, lower world)"
b1b,Two female creators,"In the beginning of times two supernatural females compete in producing things. One has positive, another negative characteristics"
b1c,One creator deceives another,"Two creators agree that whose object will be found in a certain condition (usually: whose tree or flower will grow or blossom first) should be recognized as a senior one. While one of the creators sleeps or is absent, another replaces the objects and so achieves the priority by deceit"
b1d,Good and bad workers,"Two persons are creating the world, one is a good and and another a bad worker, that’s because separate parts of the world look differently"
b20,Expedition to the upper world,"People regularly ascend to the sky for hunting, fishing or gathering; do not give honey, fish or proper meat to the old person remained below; she or he makes their return impossible, they remain in the sky"
b21,Destruction of the world tree,"People ascend the tree to hunt, fish, or gather food in the sky. The tree is destroyed, people fall to earth or remain in the upper world"
b22,Offended person destroys the tree,People who have climbed up a tree do not share food with a person who remained below. He or she revenges on them destroying the tree. The events have cosmic dimensions
b22a,Lads and tapir,"Boys climb a tree to eat fruits. Tapir asks them to give some fruits to him, they refuse to do so. Tapir tries to kill the boys"
b23,Prohibited fire and smoke,God prohibits making fire for cooking and punishes breakers of this taboo
b24,Transformation into wild pigs,"After being engaged into a conflict or breaking a tabou, people are transformed into wild pigs or peccaries"
b24a,Circle of feathers,"Person makes a circle of bird feathers around a group of people or throws feathers into their dwelling, people turn into wild pigs"
b25,Pigs fall from a tree,Persons climb a tree or liana and fall turning into wild pigs and other game animals
b26,Man joins wild animals,Person who follows the wild animals turns into one of them or into their master
b27,Variants of transformations,"Persons ponders over what object, feature, or creature it would be appropriate for him or her to turn into. When the choice is made, the persons transforms himself or herself"
b28,Travelling transformer,"The transformer walks along coming across different persons, transforming them into birds, animals, stones, shrines, etc. and introducing cultural norms, landscape features, etc."
b28a,Pierced to the ground,Person who have been transforming people into animals or stones is pierced to the ground with a pole
b28b,Pacification of things,Hero comes to a country where inhabitants are afraid of objects or plants who attack them. He easily overcomes these objects and transforms them in what they are now
b28c,Lice grasp a man and pull him into the sea,Lice grasp a man and pull him into the sea
b28d,Unrecognized Transformer,Persons do not understand with whom they are talking and tell the Transformer that they are making weapons to kill such and such a person or thinking about how to hide from him. The Transformer kills them of transforms them into animals
b28d1,"Man transformed into deer, his knives into antlers","Unrecognized Transformer meets a man who tells him that he prepares knives (a spear) to kill Transformer. The latter transforms him into deer, his knives or spear into deer antlers"
b28e,The Moon organizes the world,The Moon (alone or together with the Sun) transforms the original abnormal world establishing present day norms and forms
b29,Eschatological feast,"People turn into animals, birds or stones at a feast, after the feast, after performing a ritual or after a victory over dangerous enemy"
b2a,The female earth,The earth is a female being or associated with a woman
b2b,The earth eats the dead,The earth devours bodies of the people when they die and are buried
b2c,"The earth is a human body, is born by woman","The earth, elements of the landscape or the fertile soil are the transformed body of a person or the earth (islands) were born by a woman"
b2d,Marriage of the sky and the earth,"The male Sky (the Sun, the Thunder, the creator of the sky) marries the female Earth (or its female creator) or the female Sky marries the male Earth"
b2e,The male earth,The earth or the world as a whole is a male person
b2f,Buried in a head,"(While the earth is still absent or liquid), a bird buries its relative (usually the mother) in its own head or flies carrying the dead body or the coffin"
b2g,Chameleon walked while the earth was still soft,Chaeleon is a premordial animal and walked on the earth while its was not still solid
b3,A primeval swamp,"Initially the earth is a swamp, water and dry land are not separated from each other"
b30a,Murdered person turns into fish,Fish emerges from remains of a killed person or creature
b30b,Murdered person turns into game animals,Different game animals emerge from remains of a murdered person
b31,Woman turns into water mammal,"After a conflict with a man or remaining alone, a woman (or a woman with her husband, lover or brother) turns into water mammal"
b32,Women turn into fish,After a conflict with their husbands women turn into fish
b33,Mother of wind,"Female person is incarnation of wind, mother of winds, etc."
b33a,One dies of cold in the spring,"When it becomes warm, a person or animal, bird decides that the winter is over (most often an old woman goes to graze her animals) but dies of cold"
b33a1,The offended March,"Person or animal, bird teases, offends March or other month and are punished"
b33b,A bird of march,In the late winter or early spring a bird (usually a thrush) flies out before time and dies of cold or her nestlings die of cold
b33c,The borrowed days,When the winter ends and the spring begins certain month (usually March) borrows several days from a neighbor month to produce a short period of a cold weather
b33d,The old woman of winter,Old woman is incarnation of winter or there are several cold days between winter and spring (or fall) associated with a certain old woman
b33e,If February were like January,The last cold month wishes he were longer or would come earlier. In such a case he would freeze everybody to death
b33f,Night that unwinds her yarn,"Thanks to activity of a person (usually the old woman who winds or unwinds yarn, threads, etc.), the night and the day alternate with each other"
b33g,"Three horsemen (the Sun, the Moon, the Night)",Three horsemen embody luminaries or parts of the day cycle
b34,Overtaken by the first night,"When night escapes from container where it was originally preserved, men surprised by the darkness turn into birds or animals"
b35,Waddling bear,"Being in a hurry, the bear puts his left shoe on his right foot and vice versa. Now is lumbering"
b35a,Tree fulfills wishes and then transforms into bear,Tree grants a man the fulfillment of his wishes but ultimately transforms him into a bear
b36,"Color, voice, form: one divided between many","Because the integrity of some creature or (rare) object is ruined, different beings get their present colors, voices and other anatomical traits"
b36a,Bathing in blood,Birds or fish obtain their colors after smearing themselves with liquids extracted from the body of some being or dividing among themselves its bright skin or dress
b36b,Birds obtain their voices,Birds obtain their voices after pecking big reptile and smearing themselves with liquids from its body
b36c,Fat animals,"Animals get meat and fat extracted from some original creature or created otherwise. Some get a lot, some remain lean"
b37,Color of birds,"Person paints two or more different birds or they paint each other, smear themselves with paint, decorate their bodies with pieces of bright skin or fabric. Since then feathers, beaks and feet of the birds are of different colors"
b38,The ruined painting,Person paints birds or animals or they paint each other. It is made not according to the original plan
b38a,Two birds paint each other,"Two birds paint each other, one becomes worse than it was before"
b38b,Raven and loon paint each other,Raven and loon paint each other
b38c,Tail base of the loon,Person kicks loon or other water bird. Since then this bird has flat tail base and it walks on dry land with difficulty
b38d,Raven and owl paint each other,Raven and owl paint each other
b38e,Swan marries crow,A bird with white or bright feathers marries a bird with black feathers but flies away after getting know that his or her marriage partner eats carrion or excrements
b39,Narrow waist of an insect,"Insect-person knows the source of food (cultivated plants) and water but does not share his knowledge. To make him speak, ancestors tie a rope around his waist and pull it till the waist becomes narrow (origin of narrow place between breast and belly of insects)"
b3a,Primeval waters,"Water is the original element, the dry earth appears later"
b3b,Earth grows big,Original earth was small and later increased in size or the fertile soil grew from a small amount of original substance
b3c,An attempt to drown God,"When dry land is created, Creator takes a rest and sleeps. His antagonist decides to drown him and drags him to the edge of the earth. The dry land grows in size as long as the antagonist drags the Creator's body, the edge never reached"
b3d,Earth from worm’s excrements,"A worm obtains the earth (from the underworld), it emerges from the worm's excrements, is extracted from inside of the worm"
b3e,Earth falls on waters,"In the beginning there are only air and water. 1) Person descends from the sky, creates the dry land or a hard support created for her or him grows into the earth. 2) The earth is sent or dropped from the sky, put on the surface of the water. 3) The earth is brought from somewhere (not from the underworld) and put on the water"
b4,The fished out earth,Islands or continent are fished out of the ocean or pulled to their present place by rope
b40,Rabbit as deer’s proxy,"Hare or rabbit is a false deer or it was deer in the past or a close kin of the deer or had horns or antlers or missed opportunity to get them, its ears are the false horns"
b40a,Missed opportunity to have horns,Animal who has no horns now had them before or missed opportunity to get them
b40b,Horse exchanges features with cow,"The horse exchanges some parts of his body with the cow, usually gives her horns and/or obtains teeth"
b41,The talking dog,"Dogs could speak. To prevent them to spread information, the dog is deprived of this ability or the dog rejects it itself"
b41a,Animal reveals master’s secrets,The dog or other domestic animal speaks aloud about those details of its masters' life that they would prefer to conceal. He is punished by depriving his ability to speak
b42,Cosmic hunt,"Certain stars or constellations are interpreted as hunters, their dogs and game that the hunters pursue"
b42a,Blood or fat drops to earth,"Hunters pursue a bear across the sky, kill it in August – October. Its blood or fat drops to earth as a dew or painting leaves of the trees in red"
b42b,Sky hunters pursue an ungulate,"In the cosmic hunt tale the game pursued by the hunters is an ungulate (elk, deer, mountain sheep, etc.)"
b42c,Sky hunters pursue a bear,In the cosmic hunt tale the game pursued by the hunters is a bear
b42d,Sky hunters pursue a tapir,In the cosmic hunt tale the game pursued by the hunters is a tapir
b42e,Sky hunters pursue a rhea,In the cosmic hunt tale the game pursued by the hunters is a rhea bird (Rhea americana)
b42f,Ursa major is an ungulate,"Ursa major (seven stars or only four stars of a dipper) is identified with an ungulate (elk, deer, mountain sheep, etc.)"
b42h,"The Belt of Orion is the game, other star is the hunter","The Belt of Orion is the animal or three animals, other star (of the Orion or outside of this constellation) is the hunter"
b42h1,Hunter's arrow hit the animal,In context of the Cosmic Hunt myth one of the stars (group of stars) is an arrow or a bullet which hit the animal or three animals identified with the Belt of Orion
b42i,Cassiopea is the deer,Cassiopea (the Lady in the Chair) is associated with the deer or elk
b42k,Cosmic hunt and the Pleiades,In the cosmic hunt tale either hunters or game is identified with the Pleiades
b42l,"Animal is the dipper, hunters are the handle","Stars of the handle of the Big Dipper are identified with the hunters, the dipper itself with the game (bear or elk) or a neat-barn ravaged by bear"
b42m,Second hunter’s cooking pot,Hunter identified with Mizar (the second star of the handle of the Big Dipper) carries a cooking pot identified with Alcor (weak star near Mizar)
b42m1,"Yurak, Selkup and Tungus",Every one of three (rare: four) hunters who pursuing an elk get to the sky and become stars is identified with a person of particular nationality
b42m2,The boaster and the hurried one,"Stars of the handle of the Big Dipper are three hunters who pursue an animal and demonstrate particular psychological characteristics (one is a boaster, another is a hurried one, etc.). In Siberia the hunters belong to different ethnic groups and in the North American Northeast they are different species of birds"
b42mn,One hunter chases the sky elk,In the cosmic hunt tale only one hunter (not many) pursues an animal (elk or bear) associated with a circumpolar constellation but not with Orion or the Pleiades. (In Kalevalaic tradition the association with particular sideral objects is absent
b42n,Orion is one person,"Constellation of Orion or the Belt of Orion is identified with only one male person, usually with a warrior or hunter"
b42o,Broken back constellation,Certain constellation is a male person whose back is broken or wounded
b42o1,Ursa major is a fisher,Ursa major is identified with a fisher (mustela pennati)
b42p,Ursa major is a bear,Ursa major is identified with a bear
b42q,Ursa major is a carriage,"Ursa major is identified with a carriage, a cart"
b42r,The Belt of Orion: one runs after another,Three stars of the Belt of Orion are three persons or animals who pursue each other
b42s,Hit with a projectile,"Ursa major or Polaris are identified with a middle size animal (ermine, fisher, woodchuck) or with a basically anthropomorphic person (with some animal characteristics) hit with a dart or an arrow"
b42t,Ursa major is a big mammal,"Seven main stars of Ursa major are interpreted as a figure of a mammal: bear, deer, mountain sheep, camel, dog"
b43,Purusha,Parts of the body of the primeval person or creature are transformed into different elements of the landscape and parts of the universe
b44a,Council on seasons: units of time,Animals (Melanesia: persons) discuss the number of discrete units of time that should be in a certain calendar period or in the night
b44b,"Council on seasons: toes, claws, hairs, feathers","Toes, claws, feathers, hairs, color stripes, etc. are counted and compared to establish the number of period of time or particular way of alternation of periods"
b44c,Should warmth and light exist?,"It is discussed if darkness or light, cold or warm periods should exist"
b44d,Black-an-white animal is night and day,There are both night and day because spotted (or otherwise black and white) animal has been killed
b44e,Dispute of animals,"Participants of the discussion concerning number of the units of time, etc. are animals (rare: animals and elements, in particular Wind)"
b44f,Fox stands for day,"In a dispute about should it be dark or light, Fox stands for light"
b45,Marriage of winter and summer,"A coming of warm (light, abundant, etc.) or cold (dark, barren, etc.) time is related to the marriage of certain person"
b45b,The bull of cold,"Bull or cow are related to winter and cold, responsible for existence of the cold season"
b46,Big Dipper is seven men,Every one of the seven main stars of the Ursa mayor is a an adult man
b46a,Stolen star of the Pleiades,One of the stars of the Pleiades was separated from others (usually abducted) by stars of Big Dipper and now is seen among them)
b46a1,Stars of Big Dipper are robbers,Stars of Big Dipper are thieves robbers
b46c,Big Dipper is seven persons or animals,Every main star of the Big Dipper is interpreted as a particular person or animal
b46d,Extraordinary companions turn into stars,Several men each of whom is an expert in a particular sphere turn into stars
b47,The Pleiades bring cold,In former times or regularly the Pleiades or other group of stars produced or produce till now severe cold. (The heliacal set of the Pleiades is in May-June while in the Northern Hemisphere they are seen best of all in the winter time)
b47a,Split hood of cow,Cow steps on the stars of the Pleiades which were dangerous being and lived on earth. Some of these stars slipped through its split hoof
b48,Predators become herbivorous,Weak or herbivorous animals were dangerous predators but have been transformed
b48a,Other creatures’ flesh,"Particular pieces of flesh or inner organs in the bodies of animals, birds, or fish originally belonged to other creatures"
b48b,Human flesh in the animals,Some game animals have a piece of human flesh in their body that remained since the time when these animals were anthropomorphic
b48c,Artifacts (tools) in pike's head,In the pike’s head are (seen) tool used by people
b48d,Pike swallows people,Creatures or objects swallowed by pike become part of its body (usually turn into bones of the pike’s head)
b49,Muddled request,Animals of particular species do not hear well the instructions concerning their way of life or the ask God for some benefit but muddle their request. Thanks to this they acquire their present habits. (In the Toraja tale the motif is used to explain the mortal nature of human beings)
