,group,motif_id
5541,"Abor,Gallong,Tani",a12a
5543,Ache,a12a
5544,Achomavi,a12a
5550,Ainu,a12a
5557,"Alabama,Koasati",a12a
5569,Ancient China,a12a
5640,"Bondo,Didayi,Gutob",a12a
5658,"Burmese,Intha,Arakan",a12a
5676,Central Australia,a12a
5696,"Chin,Kuki,Lakher,Mizo,Lushei",a12a
5697,"Chin-Naga(Rengma,Ao,Angami etc",a12a
5699,Chinese folklore,a12a
5703,Chiriguano,a12a
5708,Chol,a12a
5721,Colorado (Tsachila),a12a
5730,"Creek, Seminole",a12a
5744,Dards,a12a
5759,Durango Nahua,a12a
5771,Estonians,a12a
5788,French,a12a
5795,Germans,a12a
5803,Guarani,a12a
5832,"Hupa,Chilula",a12a
5859,Kachin,a12a
5868,Kamakan,a12a
5882,Karen,a12a
5889,"Katawishi,Manao etc.",a12a
5892,Kaxuyana,a12a
5896,"Kechua: South Peru, Bolivia",a12a
5919,"Klamath, Modoc",a12a
5928,Korea,a12a
5936,Kubu,a12a
5940,Kuna,a12a
5947,Lacandon,a12a
5948,"Lahu,Sani,Hani,Nasu,Jino",a12a
5953,"Lassik,Catho,Mattole",a12a
5960,"Lengua, Sanapana",a12a
5970,"Lisu, Lolo,Yi,Achang",a12a
6003,Manchu,a12a
6020,Mataco,a12a
6022,Maxakali,a12a
6026,"Mehri,Jibbali,Harsusi",a12a
6034,"Miao,Yao (South China)",a12a
6039,Mindanao,a12a
6042,Mocovi,a12a
6043,"Mojo,Manasi,etc.",a12a
6062,Muslim Malay,a12a
6067,Nanai,a12a
6085,Nivkh,a12a
6112,Ofaie,a12a
6113,Ohlone,a12a
6121,"Omagua, Cocama",a12a
6133,Ossetians,a12a
6153,"Paya,Sumu,Misquito",a12a
6164,Pomo,a12a
6168,Potawatomi,a12a
6186,Romanians,a12a
6190,Russians,a12a
6218,Serbs,a12a
6223,"Shasta,Chimariko",a12a
6241,"Siona,Coreguaje",a12a
6253,Sora,a12a
6260,Southern Sel'kup,a12a
6279,Swedes,a12a
6307,Tequstlatec,a12a
6312,Tibetans (U-Tsang),a12a
6316,Ticuna,a12a
6319,"Timor,Leti,Lomblen",a12a
6325,Toba,a12a
6332,"Toradja, Mori",a12a
6355,Tupinamba,a12a
6358,Turks,a12a
6368,Udihe,a12a
6374,Ukrainians,a12a
6377,"Umpqua,Coquille,Tututni",a12a
6381,Urubu-Kaapor,a12a
6388,Viets,a12a
6414,"Western Shoshoni,Gosiute",a12a
6418,Wintu,a12a
6420,Wiyot,a12a
6427,Yakut,a12a
6445,"Yucatec, Itza",a12a
6453,Yurok,a12a
6464,"Abor,Gallong,Tani",a12b
6520,Atsugevi,a12b
6615,Cherokee,a12b
6620,"Chin-Naga(Rengma,Ao,Angami etc",a12b
6653,"Creek, Seminole",a12b
6782,Kachin,a12b
6827,Khasi,a12b
6829,"Khmu, Puoc",a12b
6863,Kuna,a12b
6871,"Lahu,Sani,Hani,Nasu,Jino",a12b
6915,Maidu,a12b
7015,Northern Naga (Konyak etc.),a12b
7138,"Semang,Senoi",a12b
7145,"Shan,Khampti,Ahom",a12b
7209,"Tai,Zhuang,Nung,Kho",a12b
7212,Takelma,a12b
7233,Thai (Thailand),a12b
7300,"Umpqua,Coquille,Tututni",a12b
7301,Upper Chinook,a12b
7314,"Wa, Bulang",a12b
7369,Yuchi,a12b
7376,Yurok,a12b
7384,Abaza (Abazins),a12c
7393,"Adyghe, Kabardin",a12c
7397,"Aka,Baka a.o.Western Pygmies",a12c
7415,Ancient China,a12c
7416,Ancient Egypt,a12c
7432,Armenians,a12c
7443,Atsugevi,a12c
7446,Avesta; Pekhlevi texts,a12c
7469,Batak; Gayo,a12c
7491,Bosnia Muslims,a12c
7501,Bulgarians,a12c
7508,Byelorussians,a12c
7515,Carrier,a12c
7523,Central Philippines,a12c
7572,Cook Islands southern,a12c
7579,Croatians,a12c
7585,Cyprus Greeks,a12c
7605,Durango Nahua,a12c
7616,Ese'ejja,a12c
7617,Estonians,a12c
7634,French,a12c
7637,Gagauz,a12c
7639,"Garo,Bodo,Hami,Riga",a12c
7640,Georgians,a12c
7656,Halmahera,a12c
7658,Hanty,a12c
7676,Huichol,a12c
7677,Hungarians,a12c
7678,"Hupa,Chilula",a12c
7687,"India, literary sources",a12c
7690,Ingush,a12c
7700,Jicaque,a12c
7721,Kannada; Kuruba,a12c
7729,"Karina, Galibi",a12c
7731,Karok,a12c
7742,"Kechua: South Peru, Bolivia",a12c
7774,Korea,a12c
7793,Lacandon,a12c
7832,Macedonians,a12c
7844,"Malawi,Wenda,Tumbuka,Nsenga",a12c
7858,Marathi,a12c
7865,Massim district,a12c
7875,Mentawai,a12c
7883,Minahasa,a12c
7884,Minangkabau,a12c
7902,"Mundari,Ho,Asur,Birhor",a12c
7908,Muslim Malay,a12c
7928,Nicobar,a12c
7940,Northern Paiute,a12c
8009,Poles,a12c
8036,Russians,a12c
8038,"Rutul, Tsahur",a12c
8058,Saudia,a12c
8061,"Semang,Senoi",a12c
8064,Serbs,a12c
8099,Sora,a12c
8101,"Sotho, Tswana",a12c
8121,Svan,a12c
8122,Swahili,a12c
8135,Takelma,a12c
8156,Thai (Thailand),a12c
8172,"Toda,Kota,Pulaya,Nayar,Kadar",a12c
8178,"Toradja, Mori",a12c
8182,Trans New Guinea East,a12c
8200,"Tupari,Makurap,Ajuru",a12c
8223,"Umpqua,Coquille,Tututni",a12c
8238,"Wahki,Ishkashimi,Munji",a12c
8297,"Yuma,Mohave,Maricopa",a12c
8299,Yurok,a12c
8305,"Zulu,Swasi",a12c
8308,"Abenaki,Penobscot",a12d
8309,Abkhaz,a12d
8332,Alsea,a12d
8355,Armenians,a12d
8369,Avesta; Pekhlevi texts,a12d
8377,Bakairi,a12d
8379,"Balantak,Loinang,Banggai",a12d
8445,Central Australia,a12d
8452,"Chagga, Digo",a12d
8467,"Chinantec,Mazatec",a12d
8484,Chumash,a12d
8496,Coos,a12d
8600,Hungarians,a12d
8617,Iranxe,a12d
8769,"Maliseet,Passamaquoddy",a12d
8774,"Manden,Bamana,Malinke,Diula",a12d
8789,Mataco,a12d
8808,Mindanao,a12d
8811,Mocovi,a12d
8868,Northern Sel'kup,a12d
8939,Puebla & Huasteca Nahua,a12d
8984,"Semang,Senoi",a12d
9029,Southern Sel'kup,a12d
9092,Tlapanec; Popoloca,a12d
9101,"Toradja, Mori",a12d
9131,Tuvinians,a12d
9212,Yokuts,a12d
9222,Yurok,a12d
9506,Hare,a12e
9512,Highland Ecuador,a12e
9676,Luzon Negritos,a12e
9726,"Miao,Yao (South China)",a12e
9731,Mindanao,a12e
9840,Paresi,a12e
10156,"Abor,Gallong,Tani",a12f
10221,"Baiga,Bhuiya,Bhumiya",a12f
10255,"Bondo,Didayi,Gutob",a12f
10306,Chero,a12f
10359,Dards,a12f
10408,"Garo,Bodo,Hami,Riga",a12f
10421,Gujarati,a12f
10490,Kannada; Kuruba,a12f
10614,Malayali; Kannikaran,a12f
10671,"Mundari,Ho,Asur,Birhor",a12f
10820,"Santali,Turi",a12f
10868,Sora,a12f
10917,"Telugu, Chenchu",a12f
11088,Ainu,a13a
11251,Chukchi,a13a
11409,Kamchatka Evens,a13a
11437,Kerek,a13a
11552,Maritime Koryak (Alyutor),a13a
11605,Nanai,a13a
11610,Negidals,a13a
11668,Oroch,a13a
11721,Reindeer Koryak,a13a
12011,Ainu,a13a1
12020,Aleut,a13a1
12057,Athna,a13a1
12141,Central Yupiq,a13a1
12155,Chilcotin,a13a1
12174,Chukchi,a13a1
12208,Dena'ina,a13a1
12236,Eyak,a13a1
12269,Haida,a13a1
12278,"Heiltsuk,Oowekeeno",a13a1
12303,Ingalik,a13a1
12306,Inland Tlingit,a13a1
12381,Kodiak,a13a1
12391,Koyukon,a13a1
12404,Kutchin,a13a1
12406,Kwakiutl,a13a1
12449,Mackenzie Delta Eskimo,a13a1
12548,"Nootka,Makah",a13a1
12549,North Alaskan Inupiat,a13a1
12625,Pomo,a13a1
12744,Tagish,a13a1
12746,Tahltan,a13a1
12753,Tanana,a13a1
12785,Tlingit,a13a1
12805,Tsimshian,a13a1
12821,Tutchone,a13a1
12840,"Upper Tanana,Tanacross",a13a1
12999,"Baniwa, Bare, Piapoco",a13b
13132,"Desana,Siriano,Tatuyo,Bara",a13b
13258,"Kanjobal,Chuj,Mocho",a13b
13455,Navajo,a13b
13666,Tacana,a13b
13794,Western Keres,a13b
13829,"Yucatec, Itza",a13b
13845,Abaza (Abazins),a14
13850,Ache,a14
13854,"Adyghe, Kabardin",a14
13868,Algonkian proper,a14
13893,Armenians,a14
13911,Aztec,a14
13917,"Balantak,Loinang,Banggai",a14
13930,Batak; Gayo,a14
13931,"Baule, Nzema, Agni",a14
13937,"Berber (Morocco,SW Algeria)",a14
13953,Botocudo,a14
13968,Bushmen,a14
13982,Cayapo,a14
13988,Ceram,a14
13991,Chamacoco,a14
14005,"Chinantec,Mazatec",a14
14010,Chiriguano,a14
14040,Croatians,a14
14081,Ewe,a14
14092,Fon,a14
14095,French,a14
14102,Germans,a14
14122,Hausa,a14
14129,"Hindi, Chhattisgarhi",a14
14151,Ingush,a14
14158,Italians (continental),a14
14159,"Itene,Wari,other Rondonia",a14
14168,"Kaingang, Xokleng",a14
14181,"Kanjobal,Chuj,Mocho",a14
14190,"Karina, Galibi",a14
14204,"Kei,Tanimbar,Babar,Watubela",a14
14232,Konds (Khonds),a14
14239,Krache; Ga,a14
14247,Kuna,a14
14253,Labrador Eskimo,a14
14275,Lingala,a14
14276,Lipan Apache,a14
14278,Lithuanians,a14
14281,Locono,a14
14290,Lushootseed,a14
14293,Macedonians,a14
14312,"Manden,Bamana,Malinke,Diula",a14
14315,"Manjak,Balant,Papel,Felupe,Diola",a14
14329,Maxakali,a14
14332,Mbuti & Efe Pigmies,a14
14346,Mindanao,a14
14349,Mocovi,a14
14353,"Mongo,Tetela,Kuba,Nkundu",a14
14361,"Mpongwe,Nkomi,Mindumu",a14
14363,"Mundari,Ho,Asur,Birhor",a14
14369,Muslim Malay,a14
14371,"N.Britain,N.Ireland",a14
14384,Ngaju,a14
14391,Nivakle,a14
14395,North Alaskan Inupiat,a14
14398,Northern Luzon,a14
14399,Northern Naga (Konyak etc.),a14
14401,Northern Paiute,a14
14402,Northern Peru: Costa,a14
14425,"Okinawa,Miyako,Yaeyama",a14
14433,Oraon (Kurukh),a14
14442,"Otomi,Pame,Jonaz",a14
14455,Paresi,a14
14460,"Paya,Sumu,Misquito",a14
14465,Pipil,a14
14470,Poles,a14
14473,Popoluca,a14
14474,Portuguese,a14
14482,"Quiche,Pocomam",a14
14493,Romanians,a14
14512,"Santali,Turi",a14
14519,Saudia,a14
14522,"Semang,Senoi",a14
14525,Serbs,a14
14539,"Shuar,Achuar,Huambiza",a14
14560,Sora,a14
14563,Southern Australia,a14
14564,Southern Gur,a14
14567,Southern Sel'kup,a14
14577,Sumbawa,a14
14591,"Tahiti, Society islands",a14
14601,"Tarahumara,Warihio",a14
14607,Teda,a14
14617,Thai (Thailand),a14
14627,"Tiv,Jukun,Mbete,Wute,Ekoi",a14
14629,"Tjam,Ede,Jarai",a14
14631,Tlingit,a14
14639,"Toradja, Mori",a14
14642,"Totonac, Tepehua",a14
14649,Tseltal,a14
14654,Tuareg,a14
14673,Tzutujil,a14
14675,Udihe,a14
14681,Ukrainians,a14
14694,Veracruz Nahuatl,a14
14698,"Wa, Bulang",a14
14710,"Waura,Mehinaku",a14
14726,"Witoto,Ocaina",a14
14743,"Yaqui,Mayo,Sinaloa",a14
14751,"Yoruba,Nupe,Bini",a14
14752,"Yucatec, Itza",a14
15014,Flores,a15
15045,Hausa,a15
15113,"Karina, Galibi",a15
15204,Locono,a15
15255,Mbuti & Efe Pigmies,a15
15284,"Mpongwe,Nkomi,Mindumu",a15
15292,Muslim Malay,a15
15314,Nivakle,a15
15378,Paresi,a15
15487,Southern Gur,a15
15530,Teda,a15
15549,"Timor,Leti,Lomblen",a15
15550,"Tiv,Jukun,Mbete,Wute,Ekoi",a15
15554,Tlingit,a15
15703,Ainu,a16
15710,"Alabama,Koasati",a16
15722,Ancient China,a16
15723,Ancient Egypt,a16
15729,Apinaye,a16
15739,Armenians,a16
15757,Aztec,a16
15828,Cayapo,a16
15836,"Chagga, Digo",a16
15858,Choco,a16
15874,Colorado (Tsachila),a16
15882,Cora,a16
15912,Durango Nahua,a16
15916,Eastern Keres,a16
15997,Ingush,a16
16035,Karen,a16
16100,Lacandon,a16
16103,Laks,a16
16182,Mentawai,a16
16192,Mindanao,a16
16224,Navajo,a16
16294,Palau,a16
16346,"Rwanda,Shi,Rundi",a16
16353,Samoa,a16
16368,"Semang,Senoi",a16
16408,"Sotho, Tswana",a16
16437,"Tahiti, Society islands",a16
16476,Tlapanec; Popoloca,a16
16485,"Toradja, Mori",a16
16599,Yuchi,a16
16645,Ancient China,a17
16663,Arnham Land,a17
16731,Bulgarians,a17
16736,Buryat,a17
16741,"Cahuilla, Cupeno",a17
16750,Cayapa (Chachi),a17
16759,"Chagga, Digo",a17
16763,Chechen,a17
16768,Cherokee,a17
16791,Chumash,a17
16839,Eastern Keres,a17
16858,Five Nations Iroquois,a17
16863,"Fox,Sauk,Kikapoo",a17
16872,"Gilbert,Nauru,Banaba",a17
16902,Hopi,a17
16906,Huichol,a17
16920,Ingush,a17
16933,Juruna,a17
16941,"Kalispel,Coeur d'Alene",a17
16950,"Kanjobal,Chuj,Mocho",a17
16995,"Klamath, Modoc",a17
16997,Kogi,a17
17016,Kuna,a17
17023,Lacandon,a17
17038,"Letuama,Ufaina,Yahuna",a17
17080,Mandan,a17
17104,Menomini,a17
17140,"N.Britain,N.Ireland",a17
17147,Navajo,a17
17211,"Otomi,Pame,Jonaz",a17
17212,Ottawa,a17
17297,Setu,a17
17305,Shipibo-Conibo,a17
17392,Ticuna,a17
17397,"Tiwa,Tewa,Towa",a17
17401,Toba,a17
17411,"Totonac, Tepehua",a17
17420,Tsimshian,a17
17435,Tuscarora,a17
17441,Tzotzil,a17
17450,Ukrainians,a17
17495,"Witoto,Ocaina",a17
17525,Yuki,a17
17536,Zuni,a17
17570,Ancient Greece,a18
17617,"Barasana,Taibano,Makuna",a18
17618,Bari,a18
17626,Bella Coola,a18
17704,Choco,a18
17719,Cofan,a18
17747,"Desana,Siriano,Tatuyo,Bara",a18
17801,Guajiro,a18
17858,Kachin,a18
17872,Kanamari,a18
17939,Kuna,a18
17953,Latvians,a18
17961,"Letuama,Ufaina,Yahuna",a18
17993,Makiritare,a18
17995,Makuxi,a18
18094,Northern Peru: Costa,a18
18152,"Paya,Sumu,Misquito",a18
18153,Pemon,a18
18189,Russians,a18
18228,Shipibo-Conibo,a18
18236,Sicuani,a18
18240,"Siona,Coreguaje",a18
18315,Ticuna,a18
18337,Trio,a18
18404,"Wayana, Aparai",a18
18508,Armenians,a19a
18577,Bulgarians,a19a
18639,Chuvash,a19a
18686,"Eastern Sami, incl. Skolts",a19a
18817,Kazakh,a19a
18908,Macedonians,a19a
18973,Mordvins,a19a
19112,Russians,a19a
19453,Bakairi,a19b
19831,Macedonians,a19b
19939,Northern Paiute,a19b
20020,"Quiche,Pocomam",a19b
20127,Tacana,a19b
20233,Viets,a19b
20311,Ache,a20
20335,Amuesha,a20
20376,Bakairi,a20
20426,"Burmese,Intha,Arakan",a20
20456,"Chehalis, Cowlitz",a20
20466,"Chinantec,Mazatec",a20
20492,"Comox,Pentlatch",a20
20571,Guarani,a20
20573,"Guaymi,Bocota",a20
20605,Iglulik,a20
20607,Ijka,a20
20627,Kachin,a20
20630,"Kalapalo, Kuikuro",a20
20633,"Kalispel,Coeur d'Alene",a20
20635,Kamaiura,a20
20689,Kogi,a20
20696,Korea,a20
